Date,VIX,Spread,CDS,FSI
2018-01-27,11.079999923706055,3.23,18.191570281982422,-0.4947756422334262
2018-01-28,11.079999923706055,3.23,18.191570281982422,-0.4947756422334262
2018-01-29,13.84000015258789,3.26,18.04367446899414,-0.36283003596027424
2018-01-30,14.789999961853027,3.33,17.832387924194336,-0.31323115654719647
2018-01-31,13.539999961853027,3.29,17.83942985534668,-0.38389183129059323
2018-02-01,13.470000267028809,3.29,17.98028564453125,-0.3775652512115076
2018-02-02,17.309999465942383,3.36,17.55067253112793,-0.20223183056762506
2018-02-03,17.309999465942383,3.36,17.55067253112793,-0.20223183056762506
2018-02-04,17.309999465942383,3.36,17.55067253112793,-0.20223183056762506
2018-02-05,37.31999969482422,3.48,16.860483169555664,0.7558362225391798
2018-02-06,29.979999542236328,3.6,17.149234771728516,0.44883188008482455
2018-02-07,27.729999542236328,3.46,16.980209350585938,0.2916805218842875
2018-02-08,33.459999084472656,3.59,16.599895477294922,0.5778742922875016
2018-02-09,29.059999465942383,3.82,16.67032241821289,0.42718953974741525
2018-02-10,29.059999465942383,3.82,16.67032241821289,0.42718953974741525
2018-02-11,29.059999465942383,3.82,16.67032241821289,0.42718953974741525
2018-02-12,25.610000610351562,3.71,16.874563217163086,0.24504440744419131
2018-02-13,24.969999313354492,3.78,16.853439331054688,0.23030982489580556
2018-02-14,19.260000228881836,3.69,17.1844482421875,-0.04808209996288645
2018-02-15,19.1299991607666,3.57,17.2760066986084,-0.07879470220882596
2018-02-16,19.459999084472656,3.5,17.24078941345215,-0.0830612619428081
2018-02-17,19.459999084472656,3.5,17.24078941345215,-0.0830612619428081
2018-02-18,19.459999084472656,3.5,17.24078941345215,-0.0830612619428081
2018-02-19,19.459999084472656,3.5,17.24078941345215,-0.0830612619428081
2018-02-20,20.600000381469727,3.48,17.07880401611328,-0.04382595225984779
2018-02-21,20.020000457763672,3.46,17.071762084960938,-0.0776936966854191
2018-02-22,18.719999313354492,3.53,17.10697364807129,-0.12069508474138607
2018-02-23,16.489999771118164,3.58,17.177404403686523,-0.21169783405985662
2018-02-24,16.489999771118164,3.58,17.177404403686523,-0.21169783405985662
2018-02-25,16.489999771118164,3.58,17.177404403686523,-0.21169783405985662
2018-02-26,15.800000190734863,3.5,17.24078941345215,-0.26141071668754173
2018-02-27,18.59000015258789,3.47,17.008378982543945,-0.14919956271450677
2018-02-28,19.850000381469727,3.47,16.853439331054688,-0.0985118052361204
2018-03-01,22.469999313354492,3.59,16.70553970336914,0.049641864606215856
2018-03-02,19.59000015258789,3.65,16.649192810058594,-0.07924038792434829
2018-03-03,19.59000015258789,3.65,16.649192810058594,-0.07924038792434829
2018-03-04,19.59000015258789,3.65,16.649192810058594,-0.07924038792434829
2018-03-05,18.729999542236328,3.59,16.628067016601562,-0.1379618130215349
2018-03-06,18.360000610351562,3.53,16.783010482788086,-0.16063376932727702
2018-03-07,17.760000228881836,3.56,16.79005241394043,-0.18170775627207814
2018-03-08,16.540000915527344,3.56,16.76188087463379,-0.24310510967827384
2018-03-09,14.640000343322754,3.53,16.811182022094727,-0.3399595027799414
2018-03-10,14.640000343322754,3.53,16.811182022094727,-0.3399595027799414
2018-03-11,14.640000343322754,3.53,16.811182022094727,-0.3399595027799414
2018-03-12,15.779999732971191,3.55,16.867523193359375,-0.275395187261615
2018-03-13,16.350000381469727,3.58,16.684410095214844,-0.25260152558699467
2018-03-14,17.229999542236328,3.62,16.67032241821289,-0.2004578455498923
2018-03-15,16.59000015258789,3.62,16.70553970336914,-0.2292099790364394
2018-03-16,15.800000190734863,3.6,16.7689266204834,-0.26844201722860833
2018-03-17,15.800000190734863,3.6,16.7689266204834,-0.26844201722860833
2018-03-18,15.800000190734863,3.6,16.7689266204834,-0.26844201722860833
2018-03-19,19.020000457763672,3.65,16.691452026367188,-0.10409465837263189
2018-03-20,18.200000762939453,3.62,16.719623565673828,-0.1497820137712419
2018-03-21,17.860000610351562,3.6,16.656238555908203,-0.17584982089960066
2018-03-22,23.34000015258789,3.7,16.177330017089844,0.08366874004164454
2018-03-23,24.8700008392334,3.74,15.9730863571167,0.1543407524809954
2018-03-24,24.8700008392334,3.74,15.9730863571167,0.1543407524809954
2018-03-25,24.8700008392334,3.74,15.9730863571167,0.1543407524809954
2018-03-26,21.030000686645508,3.73,16.367481231689453,-0.008073748102048731
2018-03-27,22.5,3.75,16.07872772216797,0.04871422316110722
2018-03-28,22.8700008392334,3.77,16.205501556396484,0.08062613171489807
2018-03-29,19.969999313354492,3.79,16.268882751464844,-0.051189578258210515
2018-03-30,19.969999313354492,3.79,16.268882751464844,-0.051189578258210515
2018-03-31,19.969999313354492,3.72,16.268882751464844,-0.06910219157893975
2018-04-01,19.969999313354492,3.72,16.268882751464844,-0.06910219157893975
2018-04-02,23.6200008392334,3.77,16.02942657470703,0.10500077283484044
2018-04-03,21.100000381469727,3.71,16.142114639282227,-0.025360605930067004
2018-04-04,20.059999465942383,3.71,16.170278549194336,-0.07409217623533838
2018-04-05,18.940000534057617,3.59,16.282970428466797,-0.15158576196050208
2018-04-06,21.489999771118164,3.64,16.170278549194336,-0.02232176993841889
2018-04-07,21.489999771118164,3.64,16.170278549194336,-0.02232176993841889
2018-04-08,21.489999771118164,3.64,16.170278549194336,-0.02232176993841889
2018-04-09,21.770000457763672,3.61,16.325227737426758,-0.00564242191035963
2018-04-10,20.469999313354492,3.52,16.515380859375,-0.07887552941922338
2018-04-11,20.239999771118164,3.5,16.42382049560547,-0.10153089003686065
2018-04-12,18.489999771118164,3.42,16.57876968383789,-0.19656692838496478
2018-04-13,17.40999984741211,3.38,16.585811614990234,-0.25894360583932835
2018-04-14,17.40999984741211,3.38,16.585811614990234,-0.25894360583932835
2018-04-15,17.40999984741211,3.38,16.585811614990234,-0.25894360583932835
2018-04-16,16.559999465942383,3.33,16.67032241821289,-0.3073159278562909
2018-04-17,15.25,3.29,16.726665496826172,-0.37749205944799175
2018-04-18,15.600000381469727,3.24,16.775964736938477,-0.3698233360719077
2018-04-19,15.960000038146973,3.33,16.846391677856445,-0.3243815305763812
2018-04-20,16.8799991607666,3.33,16.811182022094727,-0.2819846579621847
2018-04-21,16.8799991607666,3.33,16.811182022094727,-0.2819846579621847
2018-04-22,16.8799991607666,3.33,16.811182022094727,-0.2819846579621847
2018-04-23,16.34000015258789,3.36,16.867523193359375,-0.2967266678446701
2018-04-24,18.020000457763672,3.41,16.747793197631836,-0.2103437371251573
2018-04-25,17.84000015258789,3.47,16.67032241821289,-0.20911706910070574
2018-04-26,16.239999771118164,3.43,16.656238555908203,-0.29829350851356456
2018-04-27,15.40999984741211,3.44,16.63511085510254,-0.33764053747029643
2018-04-28,15.40999984741211,3.44,16.63511085510254,-0.33764053747029643
2018-04-29,15.40999984741211,3.44,16.63511085510254,-0.33764053747029643
2018-04-30,15.930000305175781,3.46,16.536508560180664,-0.3139999103188809
2018-05-01,15.489999771118164,3.47,16.459041595458984,-0.33823735075779604
2018-05-02,15.970000267028809,3.45,16.43791389465332,-0.3214257136744
2018-05-03,15.899999618530273,3.5,16.416784286499023,-0.3135028065669368
2018-05-04,14.770000457763672,3.49,16.374528884887695,-0.37404709710810247
2018-05-05,14.770000457763672,3.49,16.374528884887695,-0.37404709710810247
2018-05-06,14.770000457763672,3.49,16.374528884887695,-0.37404709710810247
2018-05-07,14.75,3.46,16.367481231689453,-0.3831857584824287
2018-05-08,14.710000038146973,3.46,16.31113624572754,-0.38903016473724294
2018-05-09,13.420000076293945,3.43,16.473125457763672,-0.4483692755352123
2018-05-10,13.229999542236328,3.41,16.57172393798828,-0.4559294767183986
2018-05-11,12.649999618530273,3.4,16.606935501098633,-0.48431721412804457
2018-05-12,12.649999618530273,3.4,16.606935501098633,-0.48431721412804457
2018-05-13,12.649999618530273,3.4,16.606935501098633,-0.48431721412804457
2018-05-14,12.930000305175781,3.37,16.550596237182617,-0.482244627823041
2018-05-15,14.630000114440918,3.36,16.48016929626465,-0.40683239092773
2018-05-16,13.420000076293945,3.37,16.290010452270508,-0.47638202331175034
2018-05-17,13.430000305175781,3.36,16.27592658996582,-0.4794273066448593
2018-05-18,13.420000076293945,3.41,16.14915657043457,-0.47588373379726173
2018-05-19,13.420000076293945,3.41,16.14915657043457,-0.47588373379726173
2018-05-20,13.420000076293945,3.41,16.14915657043457,-0.47588373379726173
2018-05-21,13.079999923706055,3.4,16.219579696655273,-0.49014219208954996
2018-05-22,13.220000267028809,3.39,16.346355438232422,-0.4771147661311442
2018-05-23,12.579999923706055,3.48,16.03647232055664,-0.5066938727648099
2018-05-24,12.529999732971191,3.49,15.909699440002441,-0.51533544984451
2018-05-25,13.220000267028809,3.53,15.70545482635498,-0.48559618488684003
